Скважина,Дата,Пласт,ГИС,Тип,Перфоратор,N отв,Hнач(md),Hкон(md),Hнач(abs),Hкон(abs),"Hнач(abs,тр)","Hкон(abs,тр)",Плотность,Открыт
203R,16.02.2015,НП5/1а,,ПЕРЕСТРЕЛ,ГРП,180,1894.0,1912.0,1852.8,1870.8,1852.8,1870.8,10,Да
203R,15.08.2020,НП5/1а,,ПЕРЕСТРЕЛ,ГРП,50,1894.0,1899.0,1852.8,1857.8,1852.8,1857.8,10,Да
203R,24.08.2020,НП5/1а,,ПЕРЕСТРЕЛ,ГРП,40,1894.0,1898.0,1852.8,1856.8,1852.8,1856.8,10,Да
203R,29.08.2020,НП5/1а,,ПЕРЕСТРЕЛ,ГРП,30,1894.0,1897.0,1852.8,1855.8,1852.8,1855.8,10,Да
84R,22.06.1980,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1894.0,1904.0,1845.9,1855.9,1845.9,1855.9,6,Да
95R,31.07.2018,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,1894.0,1897.0,1854.3,1857.3,1854.3,1857.3,12,Да
139R,09.02.1984,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,1895.0,1898.0,1834.6,1837.6,1834.6,1837.6,12,Да
160R,29.03.2014,НП2-3,,ПЕРВИЧ.ПЕРФ.,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,600,1895.0,1925.0,1845.9,1875.9,1845.9,1875.9,20,Да
160R,02.04.2014,НП2-3,,ПЕРЕСТРЕЛ,ГРП,0,1895.0,1925.0,1845.9,1875.9,1845.9,1875.9,0,Да
112R,17.11.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,ПР-43,50,1896.0,1901.0,1865.9,1870.9,1865.9,1870.9,10,Да
180R,28.03.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,108,1896.0,1905.0,1842.3,1851.3,1842.3,1851.3,12,Да
203R,29.08.2020,НП5/1а,,ПЕРЕСТРЕЛ,Щелевой фильтр,10,1897.0,1898.0,1855.8,1856.8,1855.8,1856.8,10,Да
95R,31.07.2018,НП2-3,,ПЕРЕСТРЕЛ,ЗПКО-102ПП,96,1897.0,1900.0,1857.3,1860.3,1857.3,1860.3,32,Да
128R,07.06.1990,НП5-2,,ПЕРВИЧ.ПЕРФ.,ПР-54М,30,1898.0,1901.0,1868.9,1871.9,1868.8,1871.8,10,Да
